department,service,demand,patients_arrivals,patients_served,patients_remaining,daily_capacity,capacity_utilization_pct,maximum_queue,average_wait_minutes,maximum_wait_minutes,congestion_status,date
ADMISSION,Admission Processing,50.31559998715954,51,51,0,576.0,8.735347219992976,1,0.0,0.0,Low,2026-08-20
ANAESTHESIA,Anaesthesia Service,0.9107973794101912,1,1,0,108.0,0.8433309068612881,1,0.0,0.0,Low,2026-08-20
Audiology,Audiology Assessment,1.3332751768534423,2,2,0,108.0,1.234514052642076,1,0.0,0.0,Low,2026-08-20
CARDIOLOGY,Cardiology Consultation,0.2641095733529744,1,1,0,108.0,0.244545901252754,1,0.0,0.0,Low,2026-08-20
CASUALTY,Emergency Consultation,4.029338956705874,5,5,0,432.0,0.9327173510893226,1,0.0,0.0,Low,2026-08-20
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,49.895052844147095,50,47,3,162.0,30.799415335893272,3,0.0,0.0,Moderate,2026-08-20
DAYCASE,Day Surgery,7.508815427084413,8,7,1,54.0,13.905213753860023,1,0.0,0.0,Moderate,2026-08-20
DENTAL,Dental Consultation,15.644139365554576,16,15,1,108.0,14.485314227365349,1,0.0,0.0,Moderate,2026-08-20
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0407608985761646,1,1,0,162.0,0.0251610485038053,1,0.0,0.0,Low,2026-08-20
EYE CLINIC,Ophthalmology Consultation,17.006146370594838,18,17,1,108.0,15.746431824624848,1,0.0,0.0,Moderate,2026-08-20
FAMILY CLINIC,Family Clinic Consultation,0.3855239985722056,1,1,0,162.0,0.2379777768964232,1,0.0,0.0,Low,2026-08-20
FAMILY MEDICINE,Family Medicine Consultation,0.119317445373819,1,1,0,162.0,0.0736527440579129,1,0.0,0.0,Low,2026-08-20
GENERAL OPD,General Consultation,123.09293643823338,124,124,0,324.0,37.99164704883746,1,0.0564516129032258,3.0,Low,2026-08-20
Gen Surg OPD,Surgical Consultation,6.347255381491383,7,6,1,162.0,3.918058877463817,1,0.0,0.0,Moderate,2026-08-20
Gynae OPD,Gynaecology Consultation,0.0586279320931731,1,1,0,108.0,0.0542851223084936,1,0.0,0.0,Low,2026-08-20
HTS,HIV Testing Service,0.0332921566526097,1,1,0,162.0,0.0205507139830924,1,0.0,0.0,Low,2026-08-20
MATERNITY NURSERY,Maternity/Nursery Care,0.0351032704652081,1,1,0,288.0,0.0121886355781972,1,0.0,0.0,Low,2026-08-20
MCH,Maternal and Child Health Consultation,54.90604292173762,55,52,3,162.0,33.89261908749236,3,0.0,0.0,Moderate,2026-08-20
MEB PHYSIOTHERAPY,Physiotherapy Treatment,3.3133246161206054,4,4,0,108.0,3.067893163074635,1,0.0,0.0,Low,2026-08-20
MEB SPECIALITY CLINIC,Speciality Consultation,49.49752601558099,50,47,3,108.0,45.83104260701944,3,0.2340425531914893,10.0,Moderate,2026-08-20
MENTAL HEALTH,Mental Health Consultation,0.0332921566526097,1,1,0,72.0,0.0462391064619579,1,0.0,0.0,Low,2026-08-20
MORGUE,Mortuary Service,0.0332921566526097,1,1,0,288.0,0.0115597766154894,1,0.0,0.0,Low,2026-08-20
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0351032704652081,1,1,0,108.0,0.032503028208526,1,0.0,0.0,Low,2026-08-20
NEUROSURGERY,Neurosurgical Consultation,19.28334457619184,20,19,1,108.0,17.854948681659106,1,0.0,0.0,Moderate,2026-08-20
NUTRITION,Nutrition Consultation,0.7309015058811703,1,1,0,108.0,0.6767606535936762,1,0.0,0.0,Low,2026-08-20
OCCUPATIONAL THERAPY,Occupational Therapy,0.7334010286242783,1,1,0,108.0,0.6790750265039613,1,0.0,0.0,Low,2026-08-20
OHNS,ENT Consultation,13.058884732142674,14,13,1,108.0,12.091559937169142,1,0.0,0.0,Moderate,2026-08-20
ONCOLOGY,Oncology Consultation,22.102366474060457,23,21,2,108.0,20.46515414264857,2,0.0,0.0,Moderate,2026-08-20
Ortho OPD,Orthopaedic Consultation,1.164822449023803,2,2,0,162.0,0.719026203101113,1,0.0,0.0,Low,2026-08-20
PAEDS,Paediatric Consultation,0.0332921566526097,1,1,0,162.0,0.0205507139830924,1,0.0,0.0,Low,2026-08-20
PAEDS BKKH,Paediatric Surgical Service,9.289173098235349,10,9,1,108.0,8.601086202069768,1,0.0,0.0,Moderate,2026-08-20
PALLIATIVE,Palliative Care Consultation,0.1894648546701012,1,1,0,108.0,0.1754304209908344,1,0.0,0.0,Low,2026-08-20
PATHOLOGY,Pathology Service,0.0332921566526097,1,1,0,162.0,0.0205507139830924,1,0.0,0.0,Low,2026-08-20
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.1588124770600951,1,1,0,108.0,0.1470485898704584,1,0.0,0.0,Low,2026-08-20
PHYSIOTHERAPY,Physiotherapy Treatment,5.053508708373139,6,5,1,108.0,4.679174729975128,1,0.0,0.0,Moderate,2026-08-20
PRIVATE CLINIC,Private Consultation,4.354869967944304,5,5,0,108.0,4.032287007355837,1,0.0,0.0,Low,2026-08-20
PSYCHOLOGY,Psychology Consultation,1.417647598099428,2,2,0,72.0,1.9689549973603169,1,0.0,0.0,Low,2026-08-20
RENAL,Dialysis,15.817275613085233,16,7,9,13.5,117.16500454137208,9,6.714285714285714,47.0,Critical,2026-08-20
RESPIRATORY CENTER,Respiratory Consultation,0.0332921566526097,1,1,0,108.0,0.0308260709746386,1,0.0,0.0,Low,2026-08-20
SPECIALITY CLINIC,Speciality Consultation,33.73978112685254,34,31,3,108.0,31.24053808041902,3,0.0,0.0,Moderate,2026-08-20
TELEMEDICINE,Telemedicine Consultation,4.828309677974786,5,5,0,162.0,2.980438072823942,1,0.0,0.0,Low,2026-08-20
ADMISSION,Admission Processing,40.49986607266504,41,41,0,576.0,7.03122674872657,1,0.0,0.0,Low,2026-08-21
ANAESTHESIA,Anaesthesia Service,0.9041222825857316,1,1,0,108.0,0.8371502616534552,1,0.0,0.0,Low,2026-08-21
Audiology,Audiology Assessment,3.280075358015783,4,4,0,108.0,3.037106812977577,1,0.0,0.0,Low,2026-08-21
CARDIOLOGY,Cardiology Consultation,0.0510496614735317,1,1,0,108.0,0.0472682050680849,1,0.0,0.0,Low,2026-08-21
CASUALTY,Emergency Consultation,4.441146320822256,5,5,0,432.0,1.0280431298199666,1,0.0,0.0,Low,2026-08-21
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,45.61015459005484,46,43,3,162.0,28.154416413614097,3,0.0,0.0,Moderate,2026-08-21
