date,hour,department,service,is_24_7,operating,demand,simulated_arrivals,patients_served,patients_remaining,maximum_queue,average_wait_minutes,maximum_wait_minutes,capacity,utilization_pct,congestion_status
2026-08-19,1,ADMISSION,Admission Processing,True,True,0.2615446599963168,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,2,ADMISSION,Admission Processing,True,True,0.6698418265460968,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,3,ADMISSION,Admission Processing,True,True,0.6955448083990432,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-19,4,ADMISSION,Admission Processing,True,True,0.4919233485012941,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,5,ADMISSION,Admission Processing,True,True,0.4892782134336932,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,6,ADMISSION,Admission Processing,True,True,0.8963752022477238,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,7,ADMISSION,Admission Processing,True,True,1.5171269394200022,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-19,8,ADMISSION,Admission Processing,True,True,2.8611039153770914,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-19,9,ADMISSION,Admission Processing,True,True,3.543556593324854,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-19,10,ADMISSION,Admission Processing,True,True,3.431500478818059,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-19,11,ADMISSION,Admission Processing,True,True,3.3166062889890227,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-19,12,ADMISSION,Admission Processing,True,True,3.035706143965354,6,6,0,0,0.0,0.0,24.0,25.0,Low
2026-08-19,13,ADMISSION,Admission Processing,True,True,2.4184524783172234,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-19,14,ADMISSION,Admission Processing,True,True,2.404333282519256,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-19,15,ADMISSION,Admission Processing,True,True,2.372993102411856,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,16,ADMISSION,Admission Processing,True,True,2.1249739736773,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,17,ADMISSION,Admission Processing,True,True,0.954067609346575,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-19,18,ADMISSION,Admission Processing,True,True,0.6774206028543878,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,19,ADMISSION,Admission Processing,True,True,0.5002497706509315,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-19,20,ADMISSION,Admission Processing,True,True,0.4026579788383684,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-19,21,ADMISSION,Admission Processing,True,True,0.3646263299098332,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-19,22,ADMISSION,Admission Processing,True,True,0.259356495706246,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-19,23,ADMISSION,Admission Processing,True,True,0.259356495706246,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,0,ADMISSION,Admission Processing,True,True,2.011533800775246,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-20,1,ADMISSION,Admission Processing,True,True,0.9257063143490354,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-20,2,ADMISSION,Admission Processing,True,True,0.4792390322567244,0,0,0,0,0.0,0.0,24.0,0.0,Low
