week,department,service,demand,weekly_capacity,capacity_surplus,patients_served,patients_remaining,utilization_pct,congestion_status
2026-08-18,ADMISSION,Admission Processing,267.836912658703,4032.0,3764.163087341297,267.836912658703,0.0,6.642780571892436,Low
2026-08-18,Audiology,Audiology Assessment,12.40140792520254,756.0,743.5985920747975,12.40140792520254,0.0,1.6403978737040397,Low
2026-08-18,CARDIOLOGY,Cardiology Consultation,1.0369481059769396,756.0,754.963051894023,1.0369481059769396,0.0,0.1371624478805475,Low
2026-08-18,CASUALTY,Emergency Consultation,38.34490571839317,3024.0,2985.655094281607,38.34490571839317,0.0,1.2680193689944832,Low
2026-08-18,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,234.6170644622973,1134.0,899.3829355377027,234.6170644622973,0.0,20.689335490502405,Low
2026-08-18,DAYCASE,Day Surgery,52.048725591667065,378.0,325.9512744083329,52.048725591667065,0.0,13.769504124779647,Low
2026-08-18,DENTAL,Dental Consultation,92.58090718713224,756.0,663.4190928128678,92.58090718713224,0.0,12.246151744329662,Low
2026-08-18,DIABETIC CLINIC,Diabetic Clinic Consultation,0.8524624516379508,1134.0,1133.1475375483622,0.8524624516379508,0.0,0.0751730556999956,Low
2026-08-18,EYE CLINIC,Ophthalmology Consultation,54.82225145417994,756.0,701.17774854582,54.82225145417994,0.0,7.251620562722215,Low
2026-08-18,FAMILY CLINIC,Family Clinic Consultation,1.2738853958521654,1134.0,1132.7261146041478,1.2738853958521654,0.0,0.1123355728264696,Low
2026-08-18,FAMILY MEDICINE,Family Medicine Consultation,1.615214847905306,1134.0,1132.3847851520948,1.615214847905306,0.0,0.1424351717729546,Low
2026-08-18,GENERAL OPD,General Consultation,783.3246981293505,2268.0,1484.6753018706495,783.3246981293505,0.0,34.53812601981263,Low
2026-08-18,Gen Surg OPD,Surgical Consultation,47.8302947218954,1134.0,1086.1697052781046,47.8302947218954,0.0,4.2178390407315165,Low
2026-08-18,Gynae OPD,Gynaecology Consultation,1.0915681717358592,756.0,754.9084318282642,1.0915681717358592,0.0,0.1443873243036851,Low
2026-08-18,MATERNITY NURSERY,Maternity/Nursery Care,0.861737892228379,2016.0,2015.138262107772,0.861737892228379,0.0,0.0427449351303759,Low
2026-08-18,MCH,Maternal and Child Health Consultation,255.98316752766345,1134.0,878.0168324723365,255.98316752766345,0.0,22.57347156328602,Low
2026-08-18,MEB SPECIALITY CLINIC,Speciality Consultation,270.119218798046,756.0,485.880781201954,270.119218798046,0.0,35.73005539656693,Low
2026-08-18,MORGUE,Mortuary Service,1.2356920935403015,2016.0,2014.76430790646,1.2356920935403015,0.0,0.0612942506716419,Low
2026-08-18,NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.8154985513597579,756.0,755.1845014486403,0.8154985513597579,0.0,0.1078701787512907,Low
2026-08-18,NEUROSURGERY,Neurosurgical Consultation,27.353641429655127,756.0,728.6463585703449,27.353641429655127,0.0,3.6182065383141695,Low
2026-08-18,NUTRITION,Nutrition Consultation,8.331945366554248,756.0,747.6680546334458,8.331945366554248,0.0,1.1021091754701384,Low
2026-08-18,OCCUPATIONAL THERAPY,Occupational Therapy,5.881340259340267,756.0,750.1186597406597,5.881340259340267,0.0,0.7779550607592947,Low
2026-08-18,OHNS,ENT Consultation,71.43533551990063,756.0,684.5646644800994,71.43533551990063,0.0,9.449118455013313,Low
2026-08-18,ONCOLOGY,Oncology Consultation,123.57575429059258,756.0,632.4242457094074,123.57575429059258,0.0,16.34599924478738,Low
2026-08-18,Ortho OPD,Orthopaedic Consultation,1.973307923103428,1134.0,1132.0266920768966,1.973307923103428,0.0,0.1740130443653816,Low
2026-08-18,PAEDS BKKH,Paediatric Surgical Service,89.95975581967636,756.0,666.0402441803236,89.95975581967636,0.0,11.899438600486292,Low
2026-08-18,PALLIATIVE,Palliative Care Consultation,1.5354741232241254,756.0,754.4645258767758,1.5354741232241254,0.0,0.2031050427545139,Low
2026-08-18,PHYSIOTHERAPY,Physiotherapy Treatment,30.46965980087002,756.0,725.53034019913,30.46965980087002,0.0,4.030378280538362,Low
2026-08-18,PRIVATE CLINIC,Private Consultation,26.785869282677595,756.0,729.2141307173224,26.785869282677595,0.0,3.543104402470582,Low
2026-08-18,PSYCHOLOGY,Psychology Consultation,9.357494595753144,504.0,494.6425054042468,9.357494595753144,0.0,1.856645753125624,Low
2026-08-18,RENAL,Dialysis,101.97889850489383,94.5,-7.478898504893834,94.5,7.478898504893834,107.91417831205696,Critical
2026-08-18,SPECIALITY CLINIC,Speciality Consultation,114.80464951642595,756.0,641.1953504835741,114.80464951642595,0.0,15.185800200585446,Low
2026-08-18,TELEMEDICINE,Telemedicine Consultation,13.63427708639126,1134.0,1120.3657229136088,13.63427708639126,0.0,1.2023172033854728,Low
2026-08-25,ADMISSION,Admission Processing,267.70864780233774,4032.0,3764.2913521976634,267.70864780233774,0.0,6.639599399859566,Low
2026-08-25,Audiology,Audiology Assessment,12.145314550125384,756.0,743.8546854498746,12.145314550125384,0.0,1.6065230886409236,Low
2026-08-25,CARDIOLOGY,Cardiology Consultation,1.0389862622685897,756.0,754.9610137377314,1.0389862622685897,0.0,0.137432045273623,Low
2026-08-25,CASUALTY,Emergency Consultation,34.74961385300988,3024.0,2989.25038614699,34.74961385300988,0.0,1.1491274422291629,Low
2026-08-25,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,235.79157568703147,1134.0,898.2084243129685,235.79157568703147,0.0,20.7929079089093,Low
2026-08-25,DAYCASE,Day Surgery,52.54324061493587,378.0,325.4567593850641,52.54324061493587,0.0,13.900328205009489,Low
2026-08-25,DENTAL,Dental Consultation,93.3066453967694,756.0,662.6933546032305,93.3066453967694,0.0,12.342148862006534,Low
2026-08-25,DIABETIC CLINIC,Diabetic Clinic Consultation,0.8504455386615071,1134.0,1133.1495544613383,0.8504455386615071,0.0,0.0749951974128313,Low
2026-08-25,EYE CLINIC,Ophthalmology Consultation,56.4508604056624,756.0,699.5491395943376,56.4508604056624,0.0,7.467045027204021,Low
2026-08-25,FAMILY CLINIC,Family Clinic Consultation,1.2770548746901866,1134.0,1132.7229451253097,1.2770548746901866,0.0,0.1126150683148312,Low
2026-08-25,FAMILY MEDICINE,Family Medicine Consultation,1.579930965894405,1134.0,1132.4200690341056,1.579930965894405,0.0,0.1393237183328399,Low
2026-08-25,GENERAL OPD,General Consultation,784.9522080800884,2268.0,1483.0477919199116,784.9522080800884,0.0,34.60988571781695,Low
2026-08-25,Gen Surg OPD,Surgical Consultation,43.94951182310045,1134.0,1090.0504881768995,43.94951182310045,0.0,3.875618326552068,Low
2026-08-25,Gynae OPD,Gynaecology Consultation,1.0907235589901698,756.0,754.9092764410099,1.0907235589901698,0.0,0.1442756030410277,Low
2026-08-25,MATERNITY NURSERY,Maternity/Nursery Care,0.8619063213497399,2016.0,2015.1380936786504,0.8619063213497399,0.0,0.042753289749491,Low
2026-08-25,MCH,Maternal and Child Health Consultation,270.18810609343166,1134.0,863.8118939065683,270.18810609343166,0.0,23.82611164845076,Low
2026-08-25,MEB SPECIALITY CLINIC,Speciality Consultation,257.72570081116504,756.0,498.27429918883496,257.72570081116504,0.0,34.090701165498025,Low
2026-08-25,MORGUE,Mortuary Service,1.2358462126448786,2016.0,2014.764153787355,1.2358462126448786,0.0,0.0613018954684959,Low
2026-08-25,NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.8154384931520912,756.0,755.1845615068479,0.8154384931520912,0.0,0.1078622345439274,Low
2026-08-25,NEUROSURGERY,Neurosurgical Consultation,27.747114482644463,756.0,728.2528855173555,27.747114482644463,0.0,3.670253238445035,Low
2026-08-25,NUTRITION,Nutrition Consultation,7.910225241580528,756.0,748.0897747584195,7.910225241580528,0.0,1.0463260901561544,Low
2026-08-25,OCCUPATIONAL THERAPY,Occupational Therapy,5.721620571650016,756.0,750.27837942835,5.721620571650016,0.0,0.7568281179431238,Low
2026-08-25,OHNS,ENT Consultation,65.64854829741247,756.0,690.3514517025875,65.64854829741247,0.0,8.683670409710645,Low
2026-08-25,ONCOLOGY,Oncology Consultation,125.7948453110688,756.0,630.2051546889312,125.7948453110688,0.0,16.639529803051428,Low
2026-08-25,Ortho OPD,Orthopaedic Consultation,2.007203038326896,1134.0,1131.992796961673,2.007203038326896,0.0,0.1770020315984917,Low
2026-08-25,PAEDS BKKH,Paediatric Surgical Service,90.7119949681309,756.0,665.2880050318691,90.7119949681309,0.0,11.998941133350648,Low
2026-08-25,PALLIATIVE,Palliative Care Consultation,1.5290825450166268,756.0,754.4709174549834,1.5290825450166268,0.0,0.2022595959016702,Low
2026-08-25,PHYSIOTHERAPY,Physiotherapy Treatment,29.748276421105224,756.0,726.2517235788948,29.748276421105224,0.0,3.934957198558892,Low
2026-08-25,PRIVATE CLINIC,Private Consultation,26.19654998952472,756.0,729.8034500104753,26.19654998952472,0.0,3.465152115016497,Low
2026-08-25,PSYCHOLOGY,Psychology Consultation,9.603390382489264,504.0,494.3966096175108,9.603390382489264,0.0,1.9054345997002509,Low
2026-08-25,RENAL,Dialysis,103.69593487721455,94.5,-9.195934877214556,94.5,9.195934877214556,109.73114801821646,Critical
2026-08-25,SPECIALITY CLINIC,Speciality Consultation,116.7405884905302,756.0,639.2594115094698,116.7405884905302,0.0,15.441876784461666,Low
2026-08-25,TELEMEDICINE,Telemedicine Consultation,13.10978701127801,1134.0,1120.890212988722,13.10978701127801,0.0,1.1560658740104066,Low
2026-09-01,ADMISSION,Admission Processing,301.17086851717625,4032.0,3730.829131482824,301.17086851717625,0.0,7.469515588223617,Low
2026-09-01,Audiology,Audiology Assessment,12.44948382255415,756.0,743.5505161774458,12.44948382255415,0.0,1.6467571193854695,Low
2026-09-01,CARDIOLOGY,Cardiology Consultation,1.0410244185602395,756.0,754.9589755814397,1.0410244185602395,0.0,0.1377016426666983,Low
2026-09-01,CASUALTY,Emergency Consultation,38.43585755987332,3024.0,2985.5641424401265,38.43585755987332,0.0,1.2710270357100966,Low
2026-09-01,CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,247.76238927989937,1134.0,886.2376107201006,247.76238927989937,0.0,21.84853520986767,Low
2026-09-01,DAYCASE,Day Surgery,55.40828042041079,378.0,322.5917195795892,55.40828042041079,0.0,14.658275243494916,Low
2026-09-01,DENTAL,Dental Consultation,96.18349098404374,756.0,659.8165090159563,96.18349098404374,0.0,12.72268399259838,Low
2026-09-01,DIABETIC CLINIC,Diabetic Clinic Consultation,0.8484286256850635,1134.0,1133.151571374315,0.8484286256850635,0.0,0.0748173391256669,Low
2026-09-01,EYE CLINIC,Ophthalmology Consultation,56.18352330036832,756.0,699.8164766996317,56.18352330036832,0.0,7.431682976239196,Low
2026-09-01,FAMILY CLINIC,Family Clinic Consultation,1.280224353528208,1134.0,1132.7197756464718,1.280224353528208,0.0,0.1128945638031929,Low
2026-09-01,FAMILY MEDICINE,Family Medicine Consultation,1.5800189623832774,1134.0,1132.4199810376167,1.5800189623832774,0.0,0.1393314781643101,Low
2026-09-01,GENERAL OPD,General Consultation,770.6728066466083,2268.0,1497.3271933533915,770.6728066466083,0.0,33.98028248000918,Low
2026-09-01,Gen Surg OPD,Surgical Consultation,48.72773760547585,1134.0,1085.2722623945242,48.72773760547585,0.0,4.296978624821503,Low
2026-09-01,Gynae OPD,Gynaecology Consultation,1.089878946244481,756.0,754.9101210537556,1.089878946244481,0.0,0.1441638817783705,Low
2026-09-01,MATERNITY NURSERY,Maternity/Nursery Care,0.8620747504711007,2016.0,2015.137925249529,0.8620747504711007,0.0,0.0427616443686061,Low
2026-09-01,MCH,Maternal and Child Health Consultation,291.6622477065157,1134.0,842.3377522934843,291.6622477065157,0.0,25.71977493002784,Low
2026-09-01,MEB SPECIALITY CLINIC,Speciality Consultation,254.53961650135852,756.0,501.4603834986415,254.53961650135852,0.0,33.66926144197864,Low
2026-09-01,MORGUE,Mortuary Service,1.2360003317494554,2016.0,2014.7639996682503,1.2360003317494554,0.0,0.0613095402653499,Low
2026-09-01,NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.8153784349444244,756.0,755.1846215650555,0.8153784349444244,0.0,0.107854290336564,Low
2026-09-01,NEUROSURGERY,Neurosurgical Consultation,26.9744510405001,756.0,729.0255489594999,26.9744510405001,0.0,3.56804907943123,Low
2026-09-01,NUTRITION,Nutrition Consultation,8.424095590348493,756.0,747.5759044096515,8.424095590348493,0.0,1.1142983585117054,Low
2026-09-01,OCCUPATIONAL THERAPY,Occupational Therapy,6.112986809074462,756.0,749.8870131909256,6.112986809074462,0.0,0.8085961387664632,Low
2026-09-01,OHNS,ENT Consultation,65.1326866472584,756.0,690.8673133527416,65.1326866472584,0.0,8.615434741700847,Low
2026-09-01,ONCOLOGY,Oncology Consultation,116.36178067627412,756.0,639.6382193237259,116.36178067627412,0.0,15.39176993072409,Low
